metabolite_name	Control3	AD6	AD7	Control9	AD2	Control2	AD8	Control10	AD11	Control11	AD10	AD1	Control7	AD3	Control8	AD5	Control6	Control4
Octadecanoic acid	58209430.00	22513860.00	23554320.00	55411870.00	40791580.00	48647210.00	37817520.00	26648400.00	39416610.00	32995230.00	32671190.00	22497950.00	25864160.00	45937700.00	30955300.00	61343010.00	26077930.00	25704120.00
Tetradecenoic acid	171113.20	99440.50	646094.80	140285.50	417046.70	316438.30	172570.90	172635.90	385568.00	163961.00	327293.70	102525.30	185923.50	158073.90	119289.10	219207.60	167441.70	142181.50
Hexadecenoic acid	2928335.00	1800237.00	6633470.00	1118762.00	3270046.00	3216645.00	2351844.00	4055103.00	4013151.00	3131317.00	3440096.00	1676476.00	4754764.00	2334906.00	2253030.00	1995040.00	3546963.00	1800228.00
Octadecenoic acid	12916800.00	9197053.00	23621940.00	3215641.00	13171400.00	12126320.00	13239700.00	23427430.00	17185570.00	14012660.00	9894051.00	9684228.00	22290290.00	9819236.00	9162049.00	8085330.00	15755140.00	6877580.00
Linoleate	11981830.00	28892310.00	17909860.00	2477067.00	9721500.00	18471260.00	15776730.00	10664230.00	19375560.00	24507010.00	21786320.00	6739396.00	18368690.00	8922627.00	20450180.00	10186120.00	12837000.00	7249942.00
Octadecatrienoic acid	1818818.00	4312190.00	2946825.00	380433.90	1436290.00	2935096.00	3202558.00	1891342.00	3887375.00	3844436.00	3564299.00	900890.80	3425473.00	1475355.00	3365129.00	1431147.00	2063857.00	1240801.00
Eicosatetraenoic acid	3055309.00	3508617.00	5444308.00	402946.80	2696956.00	4057159.00	2124048.00	5617882.00	2877011.00	4672368.00	2752310.00	2305819.00	2559406.00	2953131.00	2632626.00	2066484.00	4731376.00	1774360.00
Eicosapentaenoic acid	988787.30	1237710.00	1725495.00	81630.88	787357.00	1148980.00	668030.90	1376750.00	819627.50	1461954.00	1019816.00	642154.50	1134273.00	728373.70	836160.90	610795.20	1178974.00	596051.60
Docosahexaenoic acid	6996926.00	2168504.00	5887166.00	519899.50	4425412.00	3519343.00	3782298.00	5248968.00	5254294.00	7004862.00	2083817.00	3270179.00	3487492.00	6915938.00	2132299.00	2292333.00	11794410.00	1692102.00
Dodecanedioic acid	20446.18	19893.47	16944.17	56549.27	17255.87	15850.63	17641.60	17088.09	16919.57	12758.25	18043.15	11322.78	14165.98	19191.15	14186.12	16305.73	12937.79	15587.01
(8Z-11Z-14Z)-Icosatrienoic acid	1690803.00	3187838.00	4792860.00	334922.60	928732.20	2702890.00	1603912.00	2302950.00	2115775.00	3517064.00	2789324.00	1360459.00	3289709.00	1533335.00	1687405.00	1205786.00	3372728.00	920697.50
(5Z-8Z-11Z-14Z-17Z)-Icosapentaenoic acid	988787.30	1237710.00	1725495.00	81630.88	787357.00	1148980.00	668030.90	1376750.00	819627.50	1461954.00	1019816.00	642154.50	1134273.00	728373.70	836160.90	610795.20	1178974.00	596051.60
(7Z-10Z-13Z-16Z-19Z)-Docosa-7-10-13-16-19-pentaenoic acid	2342075.00	2216891.00	4818040.00	199487.00	1562099.00	2523511.00	1576826.00	3555260.00	1828985.00	3359566.00	1826805.00	1760399.00	3510969.00	1814824.00	1422863.00	1423584.00	2047740.00	1603353.00
3alpha-7alpha-12alpha-Trihydroxy-5beta-cholanate	40223.40	56933.56	26835.38	52806.66	34689.40	27967.67	37786.81	31543.52	27997.62	28333.72	40575.78	29153.68	39819.78	37890.25	27635.94	39793.45	17054.87	47289.12
Taurocholate	13531.70	25130.08	18564.92	1616.85	7907.95	25532.84	34032.12	1774.74	32455.40	25321.02	13562.38	16722.02	16215.64	25423.98	24640.62	10834.92	32651.12	528.15
3alpha-12alpha-Dihydroxy-5beta-cholanate	138391.10	172956.40	127285.10	148403.90	121806.60	134903.30	113456.10	114460.50	135541.60	123849.80	138930.30	124072.20	135049.40	130246.20	118720.10	116481.30	142388.70	162437.10
Sulfoglycolithocholate	17451.20	18111.10	14809.84	2576.72	9032.21	19145.48	8969.28	5704.11	7301.19	15538.76	13913.61	7878.63	12325.90	2579.25	10574.50	2586.52	6420.05	7996.76
13(S)-HODE	91559.25	155784.50	102393.30	74657.84	144222.40	130171.60	138488.20	53706.50	113285.50	109384.40	114240.00	55866.28	73236.54	135585.40	109455.30	85030.51	67079.71	46649.96
9(S)-HODE	119262.80	47666.29	66092.90	110889.60	115599.60	86242.54	57108.12	57749.46	65827.33	62965.96	66272.30	63524.55	74359.57	288948.10	58718.53	85624.21	74720.71	48799.49
11(R)-HPETE/Leukotriene B4 (isobars)	38085.25	70785.98	109526.30	10210.52	56663.25	61509.97	43125.44	81580.75	70459.89	71258.20	108430.20	27572.58	62943.05	19440.87	46414.04	16182.38	60241.27	47129.82
Prostaglandin A2	26959.58	21926.02	33114.36	36458.11	32886.36	30693.12	35536.57	30791.72	33394.71	37437.63	27592.95	35960.50	33875.20	35447.50	30787.60	35115.83	38593.28	31200.30
Prostaglandin D2/Thromboxane A2 (isobars)	326725.70	327650.70	379624.10	344375.20	325865.20	614187.80	361277.50	248815.80	533464.10	303199.30	511187.20	221491.70	178574.20	300615.60	383682.20	499838.30	464743.20	349523.80
Prostaglandin E2	26674.06	23668.98	23093.04	29532.01	33814.40	47270.03	26534.80	21535.80	40685.67	27367.60	26005.90	17100.71	19254.05	19983.54	29300.96	32770.29	21941.05	22389.08
Leukotriene A4	22819.70	8429.52	22047.02	17638.67	13503.50	14495.47	19295.91	22771.40	18764.88	17657.12	16223.54	17872.31	22929.19	21689.84	23767.78	24074.85	17916.48	17729.30
Leukotriene C4	3756.15	8965.05	1830.09	566.17	5402.13	3305.34	4342.19	883.83	6475.24	4564.35	4753.59	1231.54	1710.88	3602.64	6170.38	1286.91	4033.79	1038.60
Cholesterol sulfate	63105.17	23993.47	30325.55	48617.47	43559.11	40835.32	38691.56	22228.78	28339.99	30833.83	28953.98	35442.88	44799.27	44604.91	25808.37	50340.68	23439.23	17806.25
Cortisone	20968.72	47608.20	23235.02	7260.58	6896.60	29372.71	14849.01	22337.19	9168.20	29529.13	30009.10	11504.87	42479.77	6181.32	10842.73	1248.65	3072.77	6616.23
Pregnanediol	30546.49	24331.59	62713.58	0.00	22816.49	26520.45	19512.15	52500.94	15645.22	28414.12	14676.97	30966.61	31265.94	25760.40	12411.66	0.00	38238.04	16464.47
Undecanoic acid	369767.10	272197.80	283588.80	366765.80	314908.00	313483.60	265413.20	269833.20	306799.70	266180.20	278797.60	269411.20	281758.50	319977.90	268324.50	270456.40	272612.40	281744.50
Stearidonic acid	22504.29	132652.10	78792.52	12067.80	38705.28	52236.70	20050.16	51316.89	25073.92	44100.64	66171.93	19474.30	18493.72	25281.34	19648.14	23724.99	54541.53	12022.12
trans-9-Octadecenoic acid	12916800.00	9197053.00	23621940.00	3215641.00	13171400.00	12126320.00	13239700.00	23427430.00	17185570.00	14012660.00	9894051.00	9684228.00	22290290.00	9819236.00	9162049.00	8085330.00	15755140.00	6877580.00
Docosatetraenoic acid	2518673.00	1906730.00	4522572.00	270279.50	1274659.00	2697706.00	1248038.00	3307051.00	1801768.00	2920049.00	1477472.00	1896986.00	2228558.00	2085402.00	1494306.00	1271641.00	3121187.00	1186539.00
Catechin	260049.80	354859.80	308414.10	94018.52	179108.90	405462.20	304863.00	228837.50	136826.30	264276.70	399679.30	247950.00	285612.00	98121.23	172732.90	25636.83	76560.27	299100.00
Fe(III)dicitrate	42288.14	11996.46	42420.19	10349.90	51096.83	44990.68	29357.44	24643.45	34905.28	58531.25	41134.69	24460.10	65079.75	60176.21	21929.95	32760.89	36888.61	14353.70
alpha-N-Peptidyl-L-glutamine	9116.90	1179.99	11543.04	2608.68	7695.95	1485.96	10070.91	23571.05	17247.18	15150.99	1003.05	1075.55	9583.04	12338.79	12138.33	11878.64	11708.75	1192.61
S-Acylglutathione	138106.50	41511.51	115666.20	13304.27	171339.50	60212.80	123897.50	96391.27	144880.80	168901.20	89030.73	41044.79	42934.64	197521.90	84032.34	193380.00	173822.80	23651.94
9-Oxononanoic acid	270887.90	86141.45	138685.80	431771.70	216591.40	156070.00	176188.30	129649.40	171314.60	162356.60	138691.30	150914.10	228822.80	287371.90	149590.80	238288.00	174333.70	137047.80
Glycerone sulfate	185549.70	430626.00	222390.40	524339.40	458524.00	322287.80	234692.40	137879.40	131956.10	211006.60	342398.50	87381.40	185680.10	190741.80	204556.90	79915.97	119352.60	103338.70
N-Acetylmethionine	392900.80	238266.60	360931.60	71250.73	392448.40	198928.40	401431.90	395919.00	419543.80	572728.20	181819.20	106324.30	316879.80	352929.90	256969.20	146463.80	305138.80	44648.31
10-Hydroxydecanoic acid	65019.63	46049.77	37107.69	57611.50	48264.95	46090.69	38243.48	43857.06	29556.78	35949.20	41838.96	40117.07	54233.31	42663.97	35201.31	34128.44	30201.65	39131.93
Oxalosuccinate	56536.09	62916.07	85915.18	46171.50	50373.98	58351.94	45144.97	55043.39	49537.46	51118.42	59045.12	56816.01	55582.06	35271.08	49370.07	56300.57	44706.17	76555.54
N-Carbamyl-L-glutamate	1060680.00	811006.40	1378697.00	1492083.00	1166298.00	1123373.00	1511365.00	1422497.00	596794.10	1495447.00	898917.30	1098114.00	1385728.00	1774867.00	1484848.00	3220894.00	1839247.00	950129.10
